2025-12-12 16:09:58 | INFO     | CRIARTEMPLATE | _setup_root_logger:141 | ================================================================================
2025-12-12 16:09:58 | INFO     | CRIARTEMPLATE | _setup_root_logger:142 | Sistema de Logging Iniciado - Arquivo: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\logs\CRIARTEMPLATE_20251212_160958.log
2025-12-12 16:09:58 | INFO     | CRIARTEMPLATE | _setup_root_logger:143 | Modo: DESENVOLVIMENTO
2025-12-12 16:09:58 | INFO     | CRIARTEMPLATE | _setup_root_logger:146 | Diretório de logs: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\logs
2025-12-12 16:09:58 | INFO     | CRIARTEMPLATE | _setup_root_logger:147 | ================================================================================
2025-12-12 16:09:58 | INFO     | CRIARTEMPLATE | main:172 | ================================================================================
2025-12-12 16:09:58 | INFO     | CRIARTEMPLATE | main:173 | INICIANDO CRIARTEMPLATE
2025-12-12 16:09:58 | INFO     | CRIARTEMPLATE | main:174 | Modo: DESENVOLVIMENTO
2025-12-12 16:09:58 | INFO     | CRIARTEMPLATE | main:177 | ================================================================================
2025-12-12 16:09:58 | INFO     | CRIARTEMPLATE | main:182 | Configurações carregadas. Diretório base: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas
2025-12-12 16:09:58 | INFO     | CRIARTEMPLATE | main:188 | Executando ranking diário...
2025-12-12 16:09:58 | INFO     | CRIARTEMPLATE | _run_ranking_diario:62 | Baixando planilha 'Meta por empresa geral' para o ranking diário...
2025-12-12 16:11:52 | INFO     | CRIARTEMPLATE | _run_ranking_diario:77 | Gerando ranking diário a partir de C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\meta_empresa_20251212.xlsx ...
2025-12-12 16:12:07 | INFO     | CRIARTEMPLATE | _run_ranking_diario:83 | ✅ Ranking diário gerado com sucesso: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_diario_p1.png
2025-12-12 16:12:07 | INFO     | CRIARTEMPLATE | _run_ranking_diario:98 | Arquivo de Meta Vendedor encontrado manualmente: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\MetaVendedor_1212.xlsx
2025-12-12 16:12:07 | INFO     | CRIARTEMPLATE | _run_ranking_diario:102 | Gerando ranking de vendedores a partir de C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\MetaVendedor_1212.xlsx ...
2025-12-12 16:13:07 | INFO     | CRIARTEMPLATE | _run_ranking_diario:106 | ✅ Ranking de vendedores gerado com sucesso: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_vendedor_p1.png
2025-12-12 16:13:07 | INFO     | CRIARTEMPLATE | _run_ranking_diario:127 | Gerando ranking semanal...
2025-12-12 16:13:17 | INFO     | CRIARTEMPLATE | _run_ranking_diario:130 | Ranking semanal gerado: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_semanal_p1.png
2025-12-12 16:13:17 | INFO     | CRIARTEMPLATE | _run_ranking_diario:130 | Ranking semanal gerado: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_semanal_p2.png
2025-12-12 16:13:17 | INFO     | CRIARTEMPLATE | _run_ranking_diario:135 | Gerando ranking mensal...
2025-12-12 16:13:27 | INFO     | CRIARTEMPLATE | _run_ranking_diario:138 | Ranking mensal gerado: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_mensal_p1.png
2025-12-12 16:13:27 | INFO     | CRIARTEMPLATE | _run_ranking_diario:138 | Ranking mensal gerado: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_mensal_p2.png
2025-12-12 16:13:27 | INFO     | CRIARTEMPLATE | _run_ranking_diario:148 | Gerando análises avançadas...
2025-12-12 16:13:27 | INFO     | CRIARTEMPLATE | _run_ranking_diario:149 | Banco de dados: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\historico_meta.db (existe: True)
2025-12-12 16:13:27 | INFO     | CRIARTEMPLATE | _run_ranking_diario:150 | Diretório de dados: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data
