2025-12-16 10:25:36 | INFO     | CRIARTEMPLATE | _setup_root_logger:141 | ================================================================================
2025-12-16 10:25:36 | INFO     | CRIARTEMPLATE | _setup_root_logger:142 | Sistema de Logging Iniciado - Arquivo: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\logs\CRIARTEMPLATE_20251216_102536.log
2025-12-16 10:25:36 | INFO     | CRIARTEMPLATE | _setup_root_logger:143 | Modo: DESENVOLVIMENTO
2025-12-16 10:25:36 | INFO     | CRIARTEMPLATE | _setup_root_logger:146 | Diretório de logs: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\logs
2025-12-16 10:25:36 | INFO     | CRIARTEMPLATE | _setup_root_logger:147 | ================================================================================
2025-12-16 10:25:36 | INFO     | CRIARTEMPLATE | main:243 | ================================================================================
2025-12-16 10:25:36 | INFO     | CRIARTEMPLATE | main:244 | INICIANDO CRIARTEMPLATE
2025-12-16 10:25:36 | INFO     | CRIARTEMPLATE | main:245 | Modo: DESENVOLVIMENTO
2025-12-16 10:25:36 | INFO     | CRIARTEMPLATE | main:248 | ================================================================================
2025-12-16 10:25:36 | INFO     | CRIARTEMPLATE | main:253 | Configurações carregadas. Diretório base: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas
2025-12-16 10:25:36 | INFO     | CRIARTEMPLATE | main:259 | Executando ranking diário...
2025-12-16 10:25:36 | INFO     | CRIARTEMPLATE | _run_ranking_diario:62 | Baixando planilha 'Meta por empresa geral' para o ranking diário...
2025-12-16 10:27:32 | INFO     | CRIARTEMPLATE | _run_ranking_diario:77 | Gerando ranking diário a partir de C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\meta_empresa_20251216.xlsx ...
2025-12-16 10:27:48 | INFO     | CRIARTEMPLATE | _run_ranking_diario:83 | ✅ Ranking diário gerado com sucesso: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_diario_p1.png
2025-12-16 10:27:48 | INFO     | CRIARTEMPLATE | _run_ranking_diario:102 | Gerando ranking de vendedores a partir de C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\MetaVendedor_1612.xlsx ...
2025-12-16 10:28:26 | INFO     | CRIARTEMPLATE | _run_ranking_diario:106 | ✅ Ranking de vendedores gerado com sucesso: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_vendedor_p1.png
2025-12-16 10:28:26 | INFO     | CRIARTEMPLATE | _run_ranking_diario:127 | Gerando ranking semanal...
2025-12-16 10:28:42 | INFO     | CRIARTEMPLATE | _run_ranking_diario:130 | Ranking semanal gerado: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_semanal_p1.png
2025-12-16 10:28:42 | INFO     | CRIARTEMPLATE | _run_ranking_diario:130 | Ranking semanal gerado: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_semanal_p2.png
2025-12-16 10:28:42 | INFO     | CRIARTEMPLATE | _run_ranking_diario:135 | Gerando ranking mensal...
2025-12-16 10:29:00 | INFO     | CRIARTEMPLATE | _run_ranking_diario:138 | Ranking mensal gerado: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_mensal_p1.png
2025-12-16 10:29:00 | INFO     | CRIARTEMPLATE | _run_ranking_diario:138 | Ranking mensal gerado: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_mensal_p2.png
2025-12-16 10:29:00 | INFO     | CRIARTEMPLATE | _run_ranking_diario:144 | === INICIANDO BLOCO DE ANÁLISES AVANÇADAS ===
2025-12-16 10:29:00 | INFO     | CRIARTEMPLATE | _run_ranking_diario:147 | Importando módulos...
2025-12-16 10:29:00 | INFO     | CRIARTEMPLATE | _run_ranking_diario:152 | Módulos importados com sucesso
2025-12-16 10:29:00 | INFO     | CRIARTEMPLATE | _run_ranking_diario:155 | Carregando configurações de gamificação...
2025-12-16 10:29:00 | INFO     | CRIARTEMPLATE | _run_ranking_diario:158 | Configurações carregadas: company_name=Nossa Loja
2025-12-16 10:29:00 | INFO     | CRIARTEMPLATE | _run_ranking_diario:161 | Gerando análises avançadas...
2025-12-16 10:29:00 | INFO     | CRIARTEMPLATE | _run_ranking_diario:162 | Banco de dados: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\historico_meta.db (existe: True)
2025-12-16 10:29:00 | INFO     | CRIARTEMPLATE | _run_ranking_diario:163 | Diretório de dados: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data
2025-12-16 10:29:00 | INFO     | CRIARTEMPLATE | _run_ranking_diario:164 | Diretório de templates: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\templates
2025-12-16 10:29:00 | INFO     | CRIARTEMPLATE | _run_ranking_diario:167 | Chamando gerar_todas_analises_avancadas...
2025-12-16 10:30:40 | WARNING  | CRIARTEMPLATE | main:266 | ================================================================================
2025-12-16 10:30:40 | WARNING  | CRIARTEMPLATE | main:267 | EXECUÇÃO INTERROMPIDA PELO USUÁRIO (Ctrl+C)
2025-12-16 10:30:40 | WARNING  | CRIARTEMPLATE | main:268 | ================================================================================
