2025-11-27 16:11:34 | INFO     | CRIARTEMPLATE | _setup_root_logger:127 | ================================================================================
2025-11-27 16:11:34 | INFO     | CRIARTEMPLATE | _setup_root_logger:128 | Sistema de Logging Iniciado - Arquivo: CRIARTEMPLATE_20251127_161134.log
2025-11-27 16:11:34 | INFO     | CRIARTEMPLATE | _setup_root_logger:129 | ================================================================================
2025-11-27 16:11:35 | INFO     | CRIARTEMPLATE | main:107 | ================================================================================
2025-11-27 16:11:35 | INFO     | CRIARTEMPLATE | main:108 | INICIANDO CRIARTEMPLATE
2025-11-27 16:11:35 | INFO     | CRIARTEMPLATE | main:109 | ================================================================================
2025-11-27 16:11:35 | INFO     | CRIARTEMPLATE | _run_ranking_diario:73 | Gerando ranking diário a partir de data\meta_empresa_20251127.xlsx ...
2025-11-27 16:11:36 | INFO     | CRIARTEMPLATE | _run_ranking_diario:75 | Ranking diário gerado com sucesso: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_diario.png
2025-11-27 16:11:36 | INFO     | CRIARTEMPLATE | _run_ranking_diario:90 | Gerando ranking semanal...
2025-11-27 16:11:38 | INFO     | CRIARTEMPLATE | _run_ranking_diario:92 | Ranking semanal gerado com sucesso: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_semanal.png
2025-11-27 16:11:38 | INFO     | CRIARTEMPLATE | _run_ranking_diario:97 | Gerando ranking mensal...
2025-11-27 16:11:39 | INFO     | CRIARTEMPLATE | _run_ranking_diario:99 | Ranking mensal gerado com sucesso: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_mensal.png
2025-11-27 16:11:39 | INFO     | CRIARTEMPLATE | main:116 | ================================================================================
2025-11-27 16:11:39 | INFO     | CRIARTEMPLATE | main:117 | FLUXO FINALIZADO
2025-11-27 16:11:39 | INFO     | CRIARTEMPLATE | main:118 | ================================================================================
