2025-12-01 17:37:18 | INFO     | CRIARTEMPLATE | _setup_root_logger:141 | ================================================================================
2025-12-01 17:37:18 | INFO     | CRIARTEMPLATE | _setup_root_logger:142 | Sistema de Logging Iniciado - Arquivo: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\logs\CRIARTEMPLATE_20251201_173718.log
2025-12-01 17:37:18 | INFO     | CRIARTEMPLATE | _setup_root_logger:143 | Modo: DESENVOLVIMENTO
2025-12-01 17:37:18 | INFO     | CRIARTEMPLATE | _setup_root_logger:146 | Diretório de logs: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\logs
2025-12-01 17:37:18 | INFO     | CRIARTEMPLATE | _setup_root_logger:147 | ================================================================================
2025-12-01 17:37:18 | INFO     | CRIARTEMPLATE | main:147 | ================================================================================
2025-12-01 17:37:18 | INFO     | CRIARTEMPLATE | main:148 | INICIANDO CRIARTEMPLATE
2025-12-01 17:37:18 | INFO     | CRIARTEMPLATE | main:149 | Modo: DESENVOLVIMENTO
2025-12-01 17:37:18 | INFO     | CRIARTEMPLATE | main:152 | ================================================================================
2025-12-01 17:37:18 | INFO     | CRIARTEMPLATE | main:157 | Configurações carregadas. Diretório base: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas
2025-12-01 17:37:18 | INFO     | CRIARTEMPLATE | main:163 | Executando ranking diário...
2025-12-01 17:37:18 | INFO     | CRIARTEMPLATE | _run_ranking_diario:61 | Baixando planilha 'Meta por empresa geral' para o ranking diário...
2025-12-01 17:38:35 | INFO     | CRIARTEMPLATE | _run_ranking_diario:76 | Gerando ranking diário a partir de C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\meta_empresa_20251201.xlsx ...
2025-12-01 17:38:38 | INFO     | CRIARTEMPLATE | _run_ranking_diario:82 | ✅ Ranking diário gerado com sucesso: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_diario_p1.png
2025-12-01 17:38:38 | INFO     | CRIARTEMPLATE | _run_ranking_diario:102 | Gerando ranking semanal...
2025-12-01 17:38:41 | INFO     | CRIARTEMPLATE | _run_ranking_diario:105 | Ranking semanal gerado: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_semanal_p1.png
2025-12-01 17:38:41 | INFO     | CRIARTEMPLATE | _run_ranking_diario:105 | Ranking semanal gerado: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_semanal_p2.png
2025-12-01 17:38:41 | INFO     | CRIARTEMPLATE | _run_ranking_diario:110 | Gerando ranking mensal...
2025-12-01 17:38:45 | INFO     | CRIARTEMPLATE | _run_ranking_diario:113 | Ranking mensal gerado: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_mensal_p1.png
2025-12-01 17:38:45 | INFO     | CRIARTEMPLATE | _run_ranking_diario:113 | Ranking mensal gerado: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_mensal_p2.png
2025-12-01 17:38:45 | INFO     | CRIARTEMPLATE | _run_ranking_diario:123 | Gerando análises avançadas...
2025-12-01 17:38:45 | INFO     | CRIARTEMPLATE | _run_ranking_diario:124 | Banco de dados: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\historico_meta.db (existe: True)
2025-12-01 17:38:45 | INFO     | CRIARTEMPLATE | _run_ranking_diario:125 | Diretório de dados: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data
2025-12-01 17:42:10 | INFO     | CRIARTEMPLATE | _run_ranking_diario:133 | Análises avançadas geradas com sucesso
2025-12-01 17:42:10 | INFO     | CRIARTEMPLATE | main:166 | ================================================================================
2025-12-01 17:42:10 | INFO     | CRIARTEMPLATE | main:167 | FLUXO FINALIZADO COM SUCESSO
2025-12-01 17:42:10 | INFO     | CRIARTEMPLATE | main:168 | ================================================================================
