2025-11-27 18:04:37 | INFO     | CRIARTEMPLATE | _setup_root_logger:141 | ================================================================================
2025-11-27 18:04:37 | INFO     | CRIARTEMPLATE | _setup_root_logger:142 | Sistema de Logging Iniciado - Arquivo: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\logs\CRIARTEMPLATE_20251127_180437.log
2025-11-27 18:04:37 | INFO     | CRIARTEMPLATE | _setup_root_logger:143 | Modo: DESENVOLVIMENTO
2025-11-27 18:04:37 | INFO     | CRIARTEMPLATE | _setup_root_logger:146 | Diretório de logs: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\logs
2025-11-27 18:04:37 | INFO     | CRIARTEMPLATE | _setup_root_logger:147 | ================================================================================
2025-11-27 18:04:37 | INFO     | CRIARTEMPLATE | main:145 | ================================================================================
2025-11-27 18:04:37 | INFO     | CRIARTEMPLATE | main:146 | INICIANDO CRIARTEMPLATE
2025-11-27 18:04:37 | INFO     | CRIARTEMPLATE | main:147 | Modo: DESENVOLVIMENTO
2025-11-27 18:04:37 | INFO     | CRIARTEMPLATE | main:150 | ================================================================================
2025-11-27 18:04:37 | INFO     | CRIARTEMPLATE | main:155 | Configurações carregadas. Diretório base: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas
2025-11-27 18:04:37 | INFO     | CRIARTEMPLATE | main:161 | Executando ranking diário...
2025-11-27 18:04:37 | INFO     | CRIARTEMPLATE | _run_ranking_diario:61 | Baixando planilha 'Meta por empresa geral' para o ranking diário...
2025-11-27 18:05:53 | INFO     | CRIARTEMPLATE | _run_ranking_diario:76 | Gerando ranking diário a partir de C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\meta_empresa_20251127.xlsx ...
2025-11-27 18:05:57 | INFO     | CRIARTEMPLATE | _run_ranking_diario:82 | ✅ Ranking diário gerado com sucesso: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_diario_p1.png
2025-11-27 18:05:57 | INFO     | CRIARTEMPLATE | _run_ranking_diario:102 | Gerando ranking semanal...
2025-11-27 18:06:00 | INFO     | CRIARTEMPLATE | _run_ranking_diario:105 | Ranking semanal gerado: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_semanal_p1.png
2025-11-27 18:06:00 | INFO     | CRIARTEMPLATE | _run_ranking_diario:105 | Ranking semanal gerado: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_semanal_p2.png
2025-11-27 18:06:00 | INFO     | CRIARTEMPLATE | _run_ranking_diario:110 | Gerando ranking mensal...
2025-11-27 18:06:03 | INFO     | CRIARTEMPLATE | _run_ranking_diario:113 | Ranking mensal gerado: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_mensal_p1.png
2025-11-27 18:06:03 | INFO     | CRIARTEMPLATE | _run_ranking_diario:113 | Ranking mensal gerado: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_mensal_p2.png
2025-11-27 18:06:03 | INFO     | CRIARTEMPLATE | _run_ranking_diario:123 | Gerando análises avançadas...
2025-11-27 18:08:00 | INFO     | CRIARTEMPLATE | _run_ranking_diario:131 | Análises avançadas geradas com sucesso
2025-11-27 18:08:00 | INFO     | CRIARTEMPLATE | main:164 | ================================================================================
2025-11-27 18:08:00 | INFO     | CRIARTEMPLATE | main:165 | FLUXO FINALIZADO COM SUCESSO
2025-11-27 18:08:00 | INFO     | CRIARTEMPLATE | main:166 | ================================================================================
