2025-12-12 15:35:43 | INFO     | CRIARTEMPLATE | _setup_root_logger:141 | ================================================================================
2025-12-12 15:35:43 | INFO     | CRIARTEMPLATE | _setup_root_logger:142 | Sistema de Logging Iniciado - Arquivo: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\logs\CRIARTEMPLATE_20251212_153543.log
2025-12-12 15:35:43 | INFO     | CRIARTEMPLATE | _setup_root_logger:143 | Modo: DESENVOLVIMENTO
2025-12-12 15:35:43 | INFO     | CRIARTEMPLATE | _setup_root_logger:146 | Diretório de logs: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\logs
2025-12-12 15:35:43 | INFO     | CRIARTEMPLATE | _setup_root_logger:147 | ================================================================================
2025-12-12 15:35:44 | INFO     | CRIARTEMPLATE | main:163 | ================================================================================
2025-12-12 15:35:44 | INFO     | CRIARTEMPLATE | main:164 | INICIANDO CRIARTEMPLATE
2025-12-12 15:35:44 | INFO     | CRIARTEMPLATE | main:165 | Modo: DESENVOLVIMENTO
2025-12-12 15:35:44 | INFO     | CRIARTEMPLATE | main:168 | ================================================================================
2025-12-12 15:35:44 | INFO     | CRIARTEMPLATE | main:173 | Configurações carregadas. Diretório base: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas
2025-12-12 15:35:44 | INFO     | CRIARTEMPLATE | main:179 | Executando ranking diário...
2025-12-12 15:35:44 | INFO     | CRIARTEMPLATE | _run_ranking_diario:62 | Baixando planilha 'Meta por empresa geral' para o ranking diário...
2025-12-12 15:37:37 | INFO     | CRIARTEMPLATE | _run_ranking_diario:77 | Gerando ranking diário a partir de C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\meta_empresa_20251212.xlsx ...
2025-12-12 15:37:47 | INFO     | CRIARTEMPLATE | _run_ranking_diario:83 | ✅ Ranking diário gerado com sucesso: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_diario_p1.png
2025-12-12 15:37:47 | INFO     | CRIARTEMPLATE | _run_ranking_diario:102 | Arquivo de Meta Vendedor não disponível. Pule ranking de vendedores.
2025-12-12 15:37:47 | INFO     | CRIARTEMPLATE | _run_ranking_diario:118 | Gerando ranking semanal...
2025-12-12 15:37:57 | INFO     | CRIARTEMPLATE | _run_ranking_diario:121 | Ranking semanal gerado: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_semanal_p1.png
2025-12-12 15:37:57 | INFO     | CRIARTEMPLATE | _run_ranking_diario:121 | Ranking semanal gerado: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_semanal_p2.png
2025-12-12 15:37:57 | INFO     | CRIARTEMPLATE | _run_ranking_diario:126 | Gerando ranking mensal...
2025-12-12 15:38:07 | INFO     | CRIARTEMPLATE | _run_ranking_diario:129 | Ranking mensal gerado: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_mensal_p1.png
2025-12-12 15:38:07 | INFO     | CRIARTEMPLATE | _run_ranking_diario:129 | Ranking mensal gerado: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_mensal_p2.png
2025-12-12 15:38:07 | INFO     | CRIARTEMPLATE | _run_ranking_diario:139 | Gerando análises avançadas...
2025-12-12 15:38:07 | INFO     | CRIARTEMPLATE | _run_ranking_diario:140 | Banco de dados: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\historico_meta.db (existe: True)
2025-12-12 15:38:07 | INFO     | CRIARTEMPLATE | _run_ranking_diario:141 | Diretório de dados: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data
