2025-11-27 12:59:11 | INFO     | src.desktop_automation | setup_logger:86 | ================================================================================
2025-11-27 12:59:11 | INFO     | src.desktop_automation | setup_logger:87 | Sistema de Logging Iniciado - Arquivo: BI_CITEL_20251127_125911.log
2025-11-27 12:59:11 | INFO     | src.desktop_automation | setup_logger:88 | ================================================================================
2025-11-27 12:59:11 | INFO     | src.email_sender | setup_logger:86 | ================================================================================
2025-11-27 12:59:11 | INFO     | src.email_sender | setup_logger:87 | Sistema de Logging Iniciado - Arquivo: BI_CITEL_20251127_125911.log
2025-11-27 12:59:11 | INFO     | src.email_sender | setup_logger:88 | ================================================================================
2025-11-27 12:59:11 | INFO     | src.report_generator | setup_logger:86 | ================================================================================
2025-11-27 12:59:11 | INFO     | src.report_generator | setup_logger:87 | Sistema de Logging Iniciado - Arquivo: BI_CITEL_20251127_125911.log
2025-11-27 12:59:11 | INFO     | src.report_generator | setup_logger:88 | ================================================================================
